subNo,I1,I2,I3,I4,U1,U2,U3,U4
1,0,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,0
3,0,0,0,1,0,0,0,0
8,1,0,0,1,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,6,8,6,5,3,6,5,9
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,1,0,0,1,0,0,0,0
22,3,2,2,0,2,1,1,2
23,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,1,0,1,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,2
29,0,0,0,0,0,1,0,1
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,0
