subNo,I01,I02,I04,I06,I08,I10,I12,I14,I16,I18,I20,I22,U01,U02,U04,U06,U08,U10,U12,U14,U16,U18,U20,U22
1,1,1,1,1,1,1,1,0.916666666666667,1,1,0.75,0.666666666666667,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.416666666666667
2,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0,0,0
3,1,1,1,1,1,1,1,0.916666666666667,0.583333333333333,0.333333333333333,0,0,1,1,1,1,1,1,1,0.916666666666667,0.833333333333333,0.25,0.25,0
8,0.916666666666667,0.333333333333333,0.416666666666667,0.416666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0.272727272727273,0,0.0909090909090909,0,0,0.583333333333333,0.5,0.416666666666667,0.416666666666667,0.0833333333333333,0.0833333333333333,0.25,0.25,0.0833333333333333,0,0,0
9,1,1,1,1,1,1,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,1,1,1,1,0.916666666666667,0.666666666666667,0.333333333333333,0.166666666666667,0,0,0.0833333333333333,0
10,1,1,1,1,1,1,1,0.833333333333333,0.75,0.25,0,0,1,1,1,1,1,0.916666666666667,1,0.833333333333333,1,0.5,0,0
11,1,1,1,1,1,1,1,1,1,0.833333333333333,0,0.0833333333333333,1,1,0.916666666666667,1,1,1,1,1,1,0.833333333333333,0,0.166666666666667
12,0.916666666666667,1,1,1,0.916666666666667,0.916666666666667,0.818181818181818,0.666666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0,1,1,1,1,1,1,1,0.583333333333333,0.583333333333333,0.25,0,0.0833333333333333
13,1,1,1,1,1,1,0.916666666666667,1,0.666666666666667,0.416666666666667,0,0,1,1,1,0.916666666666667,1,1,0.833333333333333,0.916666666666667,0.666666666666667,0.333333333333333,0,0.0833333333333333
14,1,1,1,1,1,1,0.833333333333333,0.9,0.7,0.444444444444444,0,0,1,1,1,1,1,1,0.777777777777778,0.8,0.777777777777778,0.363636363636364,0,0
15,1,1,1,0.916666666666667,1,1,1,0.916666666666667,1,0.75,0,0.0833333333333333,1,1,1,0.916666666666667,1,1,1,1,1,1,0.166666666666667,0.25
16,0.916666666666667,1,0.833333333333333,0.666666666666667,0.75,0,0,0,0.25,0,0,0,1,1,0.916666666666667,0.833333333333333,0.833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.166666666666667,0
17,1,1,1,1,1,1,1,1,0.916666666666667,0,0.0833333333333333,0,1,1,1,0.916666666666667,1,1,1,1,1,0,0,0
18,0.833333333333333,0.916666666666667,0.666666666666667,0.583333333333333,0.583333333333333,0.416666666666667,0.416666666666667,0.416666666666667,0.166666666666667,0,0,0,0.833333333333333,0.833333333333333,0.818181818181818,0.666666666666667,0.75,0.5,0.5,0.333333333333333,0.25,0.166666666666667,0,0.0833333333333333
19,1,0.833333333333333,1,0.916666666666667,0.916666666666667,0.666666666666667,0.583333333333333,0.5,0.5,0.166666666666667,0.0833333333333333,0,1,0.916666666666667,1,1,0.833333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.0833333333333333,0.333333333333333,0.166666666666667,0.0833333333333333
20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.916666666666667,0.0833333333333333
21,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.75,0.416666666666667,0,0.0833333333333333,1,1,1,1,1,1,1,1,0.916666666666667,0.583333333333333,0.0833333333333333,0
22,0.909090909090909,0.75,0.916666666666667,0.9,0.818181818181818,0.727272727272727,0.666666666666667,0.666666666666667,0.333333333333333,0.363636363636364,0.166666666666667,0.0909090909090909,0.909090909090909,1,1,1,0.909090909090909,0.833333333333333,0.75,0.75,0.4,0.363636363636364,0.25,0.25
23,0.416666666666667,0.666666666666667,0.416666666666667,0.583333333333333,0.416666666666667,0.416666666666667,0.25,0.333333333333333,0.454545454545455,0.583333333333333,0.0833333333333333,0.25,0.416666666666667,0.25,0.416666666666667,0.25,0.25,0,0,0,0.0833333333333333,0.0833333333333333,0,0
24,0.25,0.0833333333333333,0.0833333333333333,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0,0,0,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0
25,0.666666666666667,0.75,0.583333333333333,0.583333333333333,0.416666666666667,0.166666666666667,0.25,0.416666666666667,0.25,0,0,0,0.75,0.583333333333333,0.666666666666667,0.5,0.666666666666667,0.25,0.25,0.25,0.166666666666667,0,0,0
26,1,1,1,1,0.916666666666667,0.909090909090909,0.75,0.583333333333333,0.545454545454545,0,0,0,1,1,1,1,1,1,1,0.75,0.833333333333333,0.416666666666667,0.25,0.0833333333333333
27,1,1,1,1,1,1,0.833333333333333,0.416666666666667,0.333333333333333,0.25,0,0,1,1,1,1,1,1,0.75,0.5,0.333333333333333,0.25,0.166666666666667,0
28,1,1,1,1,1,0.916666666666667,1,0.75,0.583333333333333,0.583333333333333,0.25,0.166666666666667,1,1,1,1,1,1,1,1,0.818181818181818,0.666666666666667,0.0833333333333333,0.333333333333333
29,1,1,1,1,1,1,1,1,1,1,0.0833333333333333,0,0.916666666666667,1,1,1,1,1,1,1,1,1,0,0
30,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.583333333333333,0
31,1,1,0.833333333333333,0.916666666666667,0.583333333333333,0.583333333333333,0.5,0.416666666666667,0.5,0.166666666666667,0,0,1,1,1,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.272727272727273,0.416666666666667,0.333333333333333,0,0
32,1,1,1,1,1,1,0.916666666666667,0.916666666666667,0.75,0.833333333333333,0,0,1,0.916666666666667,1,1,1,1,1,0.916666666666667,1,0.916666666666667,0.0833333333333333,0
