subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
1,25.5638580749645,19.9164379375527,11.5211219024202,30.9885992900508,36.8118305141606,22.9338805932264,8.89451677027169,13.6996568655437,35.0410202503909,22.0305578640047
2,11.9884057368899,9.36192297196506,8.3019584380635,10.4179395207536,12.1735727887654,17.0601521999772,7.61467511693368,6.79532240234085,12.73010821369,10.5951760498728
3,33.9718052124585,17.9986883349496,26.6635021476991,24.9208544673165,35.0589717469493,48.8550714547274,11.652684124201,13.5823386062216,20.5420332417769,26.7656313031091
4,15.1211993189071,13.8951729331404,10.520902003423,13.9677844025983,16.3237145049694,19.6723963646376,9.67235033542419,14.781634095275,12.7064313668046,18.4202759350577
5,16.558946734546,8.55499340202298,18.2696973202846,11.1112096699987,22.4800938613464,14.2291753766883,10.4419197299713,9.137907263618,7.91365580287729,6.72649081162532
6,33.6115048775624,23.1959152186623,28.0161947239001,34.3710033497265,30.5704564551521,41.379865199733,24.4552906154728,19.1210672670606,31.7407990592925,18.0792701351632
7,16.5316420238397,10.70792252223,10.8533611302377,14.3499372672573,16.9225299947763,25.0677536572658,9.71236946614714,11.0457029960043,12.1388625895635,9.93475503720518
8,14.0675425721724,16.4229052187727,6.54236029437672,19.6656884057363,13.7497338970891,15.8420637991252,13.8056511845845,17.8227021303371,19.0677899376332,14.9954776225361
9,28.5793726617602,18.6882380337228,28.2699766941403,20.6547828904753,30.4661508029437,34.9265802594816,11.8008537138132,21.0392147835208,11.2552857051016,32.8479923453463
10,17.3534533707143,13.3423991936677,11.2503746299725,15.6790496539174,11.7011867605893,30.3252855429454,6.78908714529468,20.2975128990848,14.8442123954675,11.0292023318005
11,20.3169857261869,10.7054426804633,22.715490171066,16.2967114280231,12.9378179409523,29.3179233647062,11.5244685839933,8.6984843322035,8.6927999105397,13.9060178951168
12,26.4860056703425,14.6005784791783,21.977981594995,20.7814780763953,43.0864559030015,21.1356352465193,8.85816762292142,15.895104853876,13.075194776168,20.6547545621665
13,22.0329591090945,12.8993783726671,15.857555622543,20.0051667873739,28.3038457974126,24.3571986470685,6.55761546670578,21.9304478640626,13.7358237446342,9.37362641526592
14,10.2747844991393,7.11751921458961,7.40062343539626,7.70403446762543,12.0500204957261,13.78378772084,6.93362123271965,4.47470285978351,8.53007143059421,8.62595880997252
15,19.7188750659259,13.3312123372477,9.12124605693857,11.6349384781658,20.4799014287083,37.6394142998908,9.54093431952265,8.55918647405172,8.8666265331373,28.2190862629978
16,17.0827330322818,15.0925234981039,23.9450080263499,18.2982275726006,13.222268169518,12.6653076852386,14.4054746992482,16.2669615200868,11.1840688806378,18.5869912688165
17,20.088592708892,19.3395620344679,15.9067287850953,13.8442608899415,21.2783412161562,28.9347692056906,23.5385874874661,10.186071582869,17.0729971587734,26.5605919087633
18,13.6307172771123,11.9777634233612,13.0542033302001,8.46133552020789,11.6833893129042,20.8431144658855,15.6497548888383,10.9380853919673,10.7097394741173,10.5484940615597
19,17.3057567954173,13.0987621633111,13.9586426472235,12.0803070114379,29.6635175173826,13.520560005625,15.6865718203793,13.8045621997987,12.8243295463362,10.0795850867303
20,32.5812486054949,18.0343764557669,21.6976188040242,23.1810442046022,43.996200935281,41.4501304780722,9.08451024102046,19.8942322571649,20.8409516392961,23.0625778470888
21,15.1864504030298,14.6682866206007,14.2796776347454,18.004092027578,13.6749282277141,14.7604806100185,10.8315526019609,11.1637675590375,15.5211484129228,21.1566779084815
