subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
1,1.90551673149457,1.90545119123999,1.25484198931372,1.95562117075315,2.0058210613206,2.10630236443831,1.30379324225942,1.80560593667906,2.10611776669975,1.95568759081652
2,2.30675003235228,2.50715092767496,2.2064021556871,2.35677984071663,2.30671205715043,2.50727907568216,2.30666381830815,2.45698329410516,2.60773428005632,2.50732511526439
3,2.00582487345673,2.20634805201553,2.10623418493196,1.85559630359057,1.90572493546642,2.20657927572029,2.00606914662058,2.20648734341376,2.25647345819743,2.4073118311353
4,2.20665112073766,2.30680677521741,2.20645347359823,2.65799369930755,2.15651369147236,2.20658587373327,1.90559913334437,2.357228212466,2.40709864208475,2.55758746695938
5,2.30672026798129,2.20651490846649,1.85559820965864,2.45730190485483,2.20687691943021,2.30696512758732,1.85550129221519,2.15651281172177,2.55744920187863,2.25666289456422
6,1.90548374148784,2.00589671853231,1.60465667309472,1.9055211301893,2.05597843124997,2.00579027057393,1.80519466043916,1.95578553463565,2.20640934014227,2.00577208929462
7,2.3067497786833,2.30678232904756,1.90550239483127,2.35681155108614,2.35685905709397,2.50724656810053,2.00578605243936,2.20637712065945,2.60746527148876,2.60758960814564
8,1.80520844296552,2.10599519021343,1.70496730750892,2.0558944165241,1.80514686153037,1.80516826844541,1.60463013441768,2.15615021414123,2.1060448953067,2.10607979138149
9,2.30675886938116,2.30660843371879,2.00587813195307,2.50727208051831,2.40699135547038,2.30935542302905,1.95572178740986,2.30671385594178,2.80821630591527,2.60738008329645
10,2.20644189044833,2.10613946674857,1.95684429595713,2.50730488135014,2.10612509783823,1.90557787317084,1.90559004282113,2.35693628690206,2.25659383536549,2.15629111847375
11,2.10612759029027,2.30666997644585,1.60466224490665,2.15626091416925,2.15626106085256,2.30672393355053,2.05614939320367,2.35698613862041,2.20633104373701,2.4573458917439
12,1.80560522001224,1.80541314392758,1.80540463979582,1.75524976195766,2.00607195023485,1.85544412536012,1.70511746405623,1.80535185552844,1.80541827573154,1.95588261599994
13,2.00585229182616,2.10627846501302,1.70495220541488,2.00581695593428,1.90551526541822,2.508498681942,2.10627846501302,2.05590336048044,2.25654940865934,2.25651641865261
14,2.00588632556173,2.10610194929359,1.95573745926413,2.20633340830682,2.05596334660549,1.95563863538518,1.75513524942471,2.10613083401768,2.20639132437827,2.10608024909561
15,1.90555763919838,2.05596523522399,1.5546265715966,1.90550221595913,2.00594583712518,2.0559347376693,1.50441245851107,2.00580654572695,2.30670369951986,2.20634174719453
16,2.10611749132659,2.10605209748246,1.80538235310632,2.40693943034421,2.15621005440335,2.10611631834399,1.70516658274755,2.20684834815984,2.10614681592233,2.25645456286293
17,2.20640816725791,2.20657385070808,2.05596391565632,2.30668273265474,2.20632239303086,2.5072830345016,1.85540144215338,2.40716388914734,2.3068133732304,2.30664417089429
18,2.70816311628732,2.7079663482582,2.6075545430067,2.90862808703969,2.90860433412308,2.50729009383213,2.75834849169769,2.7079663482582,2.60776465372328,2.40721786736685
19,2.4571338754613,2.30661162070464,2.00575522775762,2.60764366737567,2.55727061559446,2.70777043723501,1.75510048482101,2.45705396612175,2.25644193449989,2.65765353501774
20,2.407038987345,2.40708722629643,1.75538846728159,2.30680034380202,2.65777554780652,2.80838049950398,1.95617556868092,2.40699983900413,2.40708854590048,3.20938771130022
