subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
1,1.8711921073791,1.94002265903691,1.38551105798979,1.89933675660723,2.03721076506918,2.16270984985022,1.5169853776024,2.00586110753648,2.11234841795522,2.12489573305356
2,2.40703863680574,2.50730199145056,2.23166070988373,2.38813459332596,2.50723107523663,2.50112816877663,2.43844215975696,2.48227571812458,2.56074310647479,2.55400605511386
3,2.06750466523226,2.28134950970869,2.03285910721558,2.04978866927559,1.99256527951608,2.1879565459385,2.08121435056091,2.33190893816936,2.32556692701473,2.39373171064847
4,2.34928772697094,2.31314070840745,2.21308248001878,2.61405963125435,2.34447311485565,2.22553568175499,2.05616086631198,2.36959818755713,2.37577788752969,2.45102589223097
5,2.27190741408978,2.27396155872339,1.93721300471225,2.53248752167565,2.28180763298587,2.34040243584507,2.03112239256006,2.30060396388581,2.46981349906855,2.29430637937912
6,1.97650152422961,2.03333688948318,1.74810045269052,1.96193290435622,2.04876393223614,2.14929003904607,1.73171276333742,2.04972426531458,2.19974792653229,2.14371178467991
7,2.34880872795569,2.43209926469808,1.94957711247116,2.37558046368576,2.48844367550191,2.61489436476508,2.1061640621956,2.33814840897321,2.50100878728699,2.78307580033652
8,1.97561411697063,2.05435993380343,1.73855669272598,2.03714313540695,1.91801419496187,2.19392635577242,1.71124289870932,2.14992707727652,2.13738986082171,2.21887989840616
9,2.31675450874124,2.43540029799333,1.92558426735923,2.43371454436953,2.5273582735875,2.3803609496487,1.96821673986415,2.37565395867568,2.82150458865023,2.63842445178531
10,2.18873473143791,2.21756837175538,1.99351987044065,2.56744813546538,2.19977132750209,2.01855896734924,1.94568237201311,2.32554905740108,2.30041997094668,2.28162921167677
11,2.17361352171429,2.35692927195123,1.78037487420079,2.20013968728017,2.31927621543582,2.39466330994037,2.11250402110454,2.51365292230912,2.2941974754649,2.50736266892636
12,1.88027483157544,1.94549376449539,1.76792236651218,1.83671595568701,2.14636424409356,1.7867273482914,1.74277152447132,1.87220203549828,2.08121992213148,2.08120084281816
13,2.16515638239475,2.17825610894579,1.94344838461257,2.10612850674079,2.1529614184207,2.45732503455656,2.15639714489225,2.16888091737928,2.16253245489497,2.22521391861665
14,2.06961132872513,2.14846514071996,1.96846920785811,2.15962357388368,2.16253932794507,1.99343897053609,1.80538843795853,2.25031723711322,2.35056268029143,2.18759220751667
15,1.97147808181762,2.07702050086546,1.59861340536736,2.05598180356901,2.11242383695208,2.11889328138204,1.71127240646456,1.92433485425136,2.38195987847575,2.32101405904229
16,2.17092494600254,2.14124874943988,1.89321024237665,2.4471322258607,2.1813218030984,2.17985670244307,1.72392763262246,2.42051599358432,2.13129049176496,2.30671508254682
17,2.23517116583839,2.23625109032582,1.93712433474138,2.29335480281152,2.33175819192547,2.38208381118602,1.84299085265957,2.35691240581218,2.33181577787036,2.41328532496118
18,2.65386049830418,2.67307618951553,2.45409638661173,2.87523883170506,2.70132657616244,2.58909771746039,2.70190592626568,2.61446388632467,2.71432663256746,2.6579450439549
19,2.49794149751324,2.32240576809272,2.14394288013864,2.61383005700191,2.50098040990997,2.73301264300244,1.82409481848299,2.46354150018306,2.33801527190371,2.66397148180113
20,2.36804148025999,2.50412955889779,1.93717717288564,2.29433988434812,2.48229751295366,2.75835135085254,2.01854610060582,2.48067832866412,2.49483943978885,3.09482567974919
