subNo,IP,1,2,3,4
1,2.611446858,2.43139944,2.399321125,2.814347645,2.966211071
4,2.200340425,2.100042098,2.166861252,2.233877417,2.301145136
5,2.016634751,2.033330716,2.033271523,2.003318412,1.966728478
17,2.200491947,2.035048265,2.003318413,2.100000018,2.633655525
27,2.083344543,1.996681369,2.1,2.099836785,2.166672033
29,2.067575388,1.833271525,2.099742507,2.035566318,2.30547556
30,3.401961275,0.946060022,1.317607543,4,4
33,2.150225565,2.099602696,2.233334406,2.099493229,2.19671065
36,2.962759253,1.899642198,1.923030902,4,4
56,2.232576467,2.034148841,2.304212659,2.430512413,2.166719918
90,2.6843,2.7015,2.7673,2.6335,2.6358
110,2.1167,2.0999,2.1667,2.0996,2.1
130,2.05,2.0996,2.0334,1.9967,2.1
140,2.1953,2.0995,2.0989,2.1008,2.4567
