subNo,IP_ignore,IP_update,devI,devU,devI4-devU4,devI-devU,IPtask,IP_I1,IP_I2,IP_I3,IP_I4,IP_U1,IP_U2,IP_U3,IP_U4,devI1,devI2,devI3,devI4,devU1,devU2,devU3,devU4
1,1.750392766,1.476848462,12.82839895,10.02334375,1.886186403,2.805055205,1.608204488,2.065663648,1.982760939,1.505498646,0.1,1.951612789,2.019537079,0.929994173,0.1,6.714922725,18.38523602,18.70276518,11.1069127,7.366441036,8.737368942,21.76873746,9.220726297
2,1.623724288,1.645570695,8.263765664,6.845645816,2.959123684,1.418119848,1.634725744,2.06761195,1.8454647,1.305197994,1.078391893,1.986261735,1.834103717,1.317170463,1.477796038,7.348115153,6.198092049,8.907882508,9.895520131,5.717712486,5.13687578,9.88711055,6.936396447
3,1.701144969,1.728715784,14.6656374,8.19442891,14.88387313,6.47120849,1.714549418,1.63423765,1.694827331,1.663604138,1.840256463,1.73946506,1.79685737,1.62025191,1.827634044,12.91150147,13.8189842,10.49514851,28.26627567,6.951729358,7.496764753,10.97750662,13.38240254
4,1.901407123,1.934392286,9.091758214,6.673777461,3.761393228,2.417980753,1.917562093,1.838074777,1.905744476,1.996749335,1.903770608,1.996749335,1.996749335,1.970441136,1.803135856,7.847241551,9.091758214,11.74386108,8.799781795,5.720795199,10.72621978,5.435799012,5.038388567
5,1.050467595,1.033722114,7.125278815,5.012651215,-1.446861025,2.1126276,1.042204584,1.367907095,1.002774886,1.033669933,0.766583206,1.300663148,1.236223619,0.895777584,0.700662473,5.365834452,6.888474231,17.2463278,4.046447237,6.023064427,4.575606446,5.09239228,5.493308262
6,1.684705597,1.857559566,19.68224894,12.88193103,13.1277376,6.800317912,1.76397406,1.856467331,1.665546124,1.565307184,1.594134995,2.09831713,1.780051803,1.840020989,1.763162748,22.32542244,11.91301021,8.502501973,24.83876614,13.15089283,9.31039813,20.61956465,11.71102854
7,1.750607535,1.801529237,6.457404479,4.868850566,5.667621402,1.588553913,1.783606809,1.903770608,1.79686436,1.769348443,1.56677903,1.903770608,1.803135856,1.796866167,1.79686436,5.792140161,8.747221998,5.415387833,11.62110238,4.872098499,4.389621222,7.936524596,5.953480978
8,1.800012576,1.784193985,9.883494433,9.938541864,-1.089652335,-0.055047431,1.792102479,1.903770608,1.803135856,1.803135856,1.602999653,1.903770608,1.694949686,1.694949686,1.834103717,6.281094474,9.542880934,11.26515998,9.645296875,10.69991847,8.630466452,6.41729512,10.73494921
9,1.81333917,1.820921423,7.916687995,8.447879973,-7.140120713,-0.531191978,1.81716584,1.803135856,1.835434245,1.905706786,1.706569136,1.951558958,1.834103717,1.780885588,1.729047004,6.909329815,9.258415304,10.08106619,6.800484787,8.967800044,6.712487075,6.02065035,13.9406055
11,0.897077471,1.289100228,9.582174491,6.682194457,6.22071422,2.899980034,1.093404414,0.966746938,1.167515542,0.883831097,0.551405015,1.366791395,1.509987155,1.311536376,0.965937758,5.600790957,4.821356759,7.365695041,14.13576366,8.274069621,7.169759064,4.69564992,7.91504944
12,1.234079389,1.416685083,12.68484543,9.201741232,6.583080915,3.483104198,1.325432936,1.434091391,1.500005261,1.100527578,0.90914785,1.633374171,1.397140287,1.300000581,1.366735403,9.742711876,8.145699319,27.06279225,14.525174,8.262729356,16.43783576,6.961789732,7.942093085
13,0.478519104,0.755708473,12.99958838,7.336993869,8.099138359,5.662594511,0.608277945,1.033768618,0.96700614,0.17872914,0.1,1.366791395,1.234521114,0.40821093,0.1,10.6127748,10.06134784,20.3518182,15.41966732,5.252700869,12.12375468,9.842766897,7.320528961
14,0.87482806,0.757855544,6.71875,4.898756005,0.058909572,1.819993995,0.81735676,0.942202112,0.779090841,0.943901116,0.825571692,0.854530396,0.779090841,0.604461965,0.762495425,5.263889918,5.948106124,6.037709512,6.928253976,4.379691242,3.031576034,5.160931296,6.869344404
