sub,kappa,beta,bestModel,preference
1,0.182824266506349,1.67057588236939,2,0
2,0.113601918025444,3.04171601191171,2,2
3,0.0546239892911226,4.29128818530767,3,2
4,0.015049036455917,11.5288044580801,3,0
5,0.406906545497505,4.9734254566295,3,0
6,0.0561365349302747,1.89772146259217,3,2
7,0.0491540697112977,14.0995925960437,3,2
8,0.0451503019928761,17.292719780668,3,2
9,0.0411710517356097,4.39093651788106,1,2
11,0.354511114615374,3.30762108723832,3,2
12,0.213910774291188,7.06660379247814,3,2
13,0.889035856988192,3.36810080913717,1,2
14,0.734969901930231,1.55475958823783,3,2
15,0.130822013822462,5.78419682513683,3,2
16,0.151481914299974,5.71915976008137,3,2
18,0.437058519175511,3.31310968179388,3,2
19,0.279787512632017,4.16025330207997,3,2
20,0.883906245278115,1.10083593987406,4,2
21,0.224322576360753,5.38359224158523,1,2
22,0.0173806437442069,5.8545348106261,3,2
25,0.0185807519066623,24.7778451118505,3,2
26,0.50910305316481,7.27851723753927,3,2
27,0.0230318485394468,7.47910856591644,3,0
28,0.267365129816721,2.33223873062451,3,2
29,0.202119443486868,4.98222796367944,4,0
31,0.49937231173776,4.11173371126862,3,2
32,0.000480950682756803,19.3724772896852,2,2
33,0.021600830834396,30.7611601263665,3,0
34,0.450389338707487,4.97784363044984,1,2
37,0.986721490553771,3.01611417507984,1,2
38,0.291685635175447,5.17285185511602,3,2
39,0.137561662360618,4.4417417746599,3,2
40,0.00637651257071461,83.2128041533156,3,2
41,1.92790071717203e-12,10.4826633962355,1,2
42,0.236923553511088,6.21624082114235,1,2
43,0.165610541769902,8.42401407653804,3,2
44,6.22579176633734,4.17498708851371,3,2
45,0.0422609622201095,16.1337342678994,3,2
47,0.0133358654569302,12.073715439657,3,2
48,1.18557459400477,4.96759848891693,3,2
49,0.106626743499977,7.25380314254259,3,2
51,1.77762216381239,3.24755791338226,3,2
53,0.0722595463301209,3.5502122477655,2,2
55,0.10875507862386,4.41118778049777,3,2
56,0.749251371486571,1.88108551300201,3,0
57,0.0147671696201945,3.74842179615441,3,2
58,0.0430529789368959,11.4846915717375,3,2
59,0.0404093222251701,6.12247048015756,3,2
60,0.0424772518077187,17.1326080554161,2,2
62,1.26734188967182,1.66075518156262,3,2
103,0.0544563620838669,6.68099899418702,3,2
108,4.6965379317325,1.89141055086663,3,NaN
109,0.292701765582705,7.14392786718799,3,0
110,0.0630861743128379,7.77578007906809,3,2
111,0.0190790313857425,7.96010904831313,3,0
112,0.106666390124944,4.24251060015358,3,2
113,0.0856743407807933,8.19208708430229,2,0
114,0.092351471370234,8.88952236607268,2,0
115,0.0116115661778703,5.59518955270954,3,2
116,0.630140788004158,3.6855916452992,3,2
117,0.0647943706297436,9.7830636043999,3,2
118,0.469346034902652,2.82020834505539,1,2
119,0.179434205151778,2.60869474375163,3,2
120,3.21319346898345e-14,19.3613969502229,2,2
121,0.0451596269683942,7.55362063953572,3,2
122,0.107431574359406,2.10630247376597,3,2
125,1.34269175298248,1.69526906448809,3,2
126,0.0980190958838617,5.13021130876576,3,2
127,0.127987848012423,4.74966470146874,3,2
128,0.0446071408564062,5.22582842127356,2,2
129,0.0162879399432971,9.97506237661061,3,2
130,0.00223368909419931,58.9440145589221,3,2
131,0.233618686325187,4.3862284151532,1,2
132,0.0374371281995794,6.73916016517829,2,2
