subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
1,12.82839895,10.02334374,6.714922725,18.38523602,18.70276518,11.1069127,7.366441036,8.737368942,21.76873746,9.220726297
2,8.263765664,6.845645815,7.348115153,6.198092049,8.907882508,9.895520131,5.717712486,5.13687578,9.88711055,6.936396447
3,14.6656374,8.194428908,12.91150147,13.8189842,10.49514851,28.26627567,6.951729358,7.496764753,10.97750662,13.38240254
4,9.091758214,6.673777462,7.847241551,9.091758214,11.74386108,8.799781795,5.720795199,10.72621978,5.435799012,5.038388567
5,7.125278815,5.012651215,5.365834452,6.888474231,17.2463278,4.046447237,6.023064427,4.575606446,5.09239228,5.493308262
6,19.68224894,12.88193103,22.32542244,11.91301021,8.502501973,24.83876614,13.15089283,9.31039813,20.61956465,11.71102854
7,6.457404479,4.868850566,5.792140161,8.747221998,5.415387833,11.62110238,4.872098499,4.389621222,7.936524596,5.953480978
8,9.883494433,9.938541864,6.281094474,9.542880934,11.26515998,9.645296875,10.69991847,8.630466452,6.41729512,10.73494921
9,7.916687995,8.447879973,6.909329815,9.258415304,10.08106619,6.800484787,8.967800044,6.712487075,6.02065035,13.9406055
10,6.881377729,8.044262892,6.881377729,5.66731151,4.397158915,13.80892043,8.044262892,6.844787102,12.71900725,8.064306404
11,9.582174491,6.682194458,5.600790957,4.821356759,7.365695041,14.13576366,8.274069621,7.169759064,4.69564992,7.91504944
12,12.68484543,9.201741232,9.742711876,8.145699319,27.06279225,14.525174,8.262729356,16.43783576,6.961789732,7.942093085
13,12.99958838,7.33699387,10.6127748,10.06134784,20.3518182,15.41966732,5.252700869,12.12375468,9.842766897,7.320528961
14,6.71875,4.898756005,5.263889918,5.948106124,6.037709512,6.928253976,4.379691242,3.031576034,5.160931296,6.869344404
15,6.646202486,7.725045081,4.921281096,5.963889108,11.87000289,8.765049843,5.312399935,8.271964801,6.544186342,12.64116673
16,9.260780324,9.093551491,9.646885968,10.24612339,7.626826056,8.265374625,10.9428466,10.99185836,5.902760936,9.441311747
17,8.496162263,9.035040999,7.559936292,9.934957123,7.108427511,11.60216358,11.34275963,5.175959504,9.441059793,12.12483591
18,5.464107788,5.776740922,7.699793445,4.109507816,3.779641416,7.174556329,5.230807926,6.878435358,7.332401112,3.91936067
19,6.829018085,6.973193563,7.118262478,6.146749756,9.097813659,7.264282138,8.092774587,7.004955381,6.442943001,6.110639967
20,14.74927308,10.86588895,8.60561362,11.97553701,29.77503571,24.9880469,8.668322328,10.86588895,7.53110249,18.1612732
21,9.463141293,9.722651842,13.80694676,7.580532696,11.28389372,9.306915858,9.159090687,4.749503667,12.49356062,11.73469566
22,9.887822044,9.666952172,9.790657926,11.13872942,8.579487958,11.3336195,8.351820841,12.62545235,13.32821545,8.966288271
